company,job_id,job_title,department,location,url,post_date,scrape_date
Airbnb,6994535, Payments Regional Growth & Development Lead,Marketing,"Gurugram, India",https://careers.airbnb.com/positions/6994535?gh_jid=6994535,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7075206,"Platform Manager, Community Support",Engineering,United States,https://careers.airbnb.com/positions/7075206?gh_jid=7075206,2025-08-11T20:01:32-04:00,22-08-2025
Airbnb,7113476,"Platform Manager, Provisioning & Access Management",Engineering,United States,https://careers.airbnb.com/positions/7113476?gh_jid=7113476,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7060476,"Platform Product Manager, Social Platform",Engineering,United States,https://careers.airbnb.com/positions/7060476?gh_jid=7060476,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7179373,Policy Associate,Legal & Compliance,United States,https://careers.airbnb.com/positions/7179373?gh_jid=7179373,2025-08-21T16:05:17-04:00,22-08-2025
Airbnb,6770858,"Policy Manager, Commercial Policy ",Legal & Compliance,United States ,https://careers.airbnb.com/positions/6770858?gh_jid=6770858,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7144627,"Policy Products Manager, City Portal",Product,United States ,https://careers.airbnb.com/positions/7144627?gh_jid=7144627,2025-08-12T16:16:19-04:00,22-08-2025
Airbnb,7137500,Premium Support Delivery Manager (Portuguese),Customer Support,Ireland,https://careers.airbnb.com/positions/7137500?gh_jid=7137500,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7137357,Premium Support Delivery Manager (Spanish),Customer Support,Ireland,https://careers.airbnb.com/positions/7137357?gh_jid=7137357,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7171582,Premium Support Senior Specialist (Spanish),Customer Support,Canada,https://careers.airbnb.com/positions/7171582?gh_jid=7171582,2025-08-15T12:45:27-04:00,22-08-2025
Airbnb,7164597,Premium Support Senior Specialist (Spanish),Customer Support,Ireland,https://careers.airbnb.com/positions/7164597?gh_jid=7164597,2025-08-19T12:50:32-04:00,22-08-2025
Airbnb,7030213,Premium Support Specialist (Spanish),Customer Support,Ireland,https://careers.airbnb.com/positions/7030213?gh_jid=7030213,2025-08-08T08:47:18-04:00,22-08-2025
Airbnb,6960651,Premium Support Specialist (Spanish),Customer Support,"British Columbia, Canada",https://careers.airbnb.com/positions/6960651?gh_jid=6960651,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7118403,"Principal, SOX Compliance",Legal & Compliance,United States ,https://careers.airbnb.com/positions/7118403?gh_jid=7118403,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6683176,"Product Manager, APAC",Product,"Singapore, Seoul, Tokyo",https://careers.airbnb.com/positions/6683176?gh_jid=6683176,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7150575,"Product Manager, Guest Discovery & Merchandising",Product,United States ,https://careers.airbnb.com/positions/7150575?gh_jid=7150575,2025-08-11T13:50:19-04:00,22-08-2025
Airbnb,7160064,"Product Manager, LATAM (Mexico City, Mexico)",Product,"Mexico City, Mexico",https://careers.airbnb.com/positions/7160064?gh_jid=7160064,2025-08-14T11:15:51-04:00,22-08-2025
Airbnb,7144534,"Product Manager, LATAM (Miami or San Francisco)",Product,"Miami, United States, San Francisco, United States",https://careers.airbnb.com/positions/7144534?gh_jid=7144534,2025-08-15T11:43:36-04:00,22-08-2025
Airbnb,7139933,"Product Manager, LATAM (São Paulo, Brazil)",Product,"São Paulo, Brazil",https://careers.airbnb.com/positions/7139933?gh_jid=7139933,2025-08-14T11:15:19-04:00,22-08-2025
Airbnb,6557174,"Program Manager, Product Roadmap Planning & Program Management",Product,"San Francisco, United States ",https://careers.airbnb.com/positions/6557174?gh_jid=6557174,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6434883,Programs and Business Operations Lead,Operations,Mexico,https://careers.airbnb.com/positions/6434883?gh_jid=6434883,2025-08-20T11:10:42-04:00,22-08-2025
Airbnb,7120270,Regulatory Response Specialist - German Speaking (Customer Escalations),Legal & Compliance,"Dublin, Ireland",https://careers.airbnb.com/positions/7120270?gh_jid=7120270,2025-08-15T05:47:47-04:00,22-08-2025
Airbnb,7033277,Safety Specialist,,"Gurgaon, India",https://careers.airbnb.com/positions/7033277?gh_jid=7033277,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6944037,Safety Specialist,,"Gurugram, India",https://careers.airbnb.com/positions/6944037?gh_jid=6944037,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6602436,"Senior Android Engineer, Quality Engineering",Engineering,United States,https://careers.airbnb.com/positions/6602436?gh_jid=6602436,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7080108,Senior Business Operations Lead - Saudi Arabia,Operations,Saudi Arabia ,https://careers.airbnb.com/positions/7080108?gh_jid=7080108,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7174244,Senior Consumer & Product Communications Manager APAC,Product,Singapore,https://careers.airbnb.com/positions/7174244?gh_jid=7174244,2025-08-20T00:18:15-04:00,22-08-2025
